email_length,password_length,password_special_chars,is_post,is_login_endpoint,user_agent_length,ip1,ip2,ip3,ip4,time_since_last,body_field_count,has_sql,has_script,hour,day,is_gmail,is_yahoo,is_outlook,dummy,label
11,66,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,66,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,3,1,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,3,1,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,3,1,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,19,4,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,19,4,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,19,4,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,20,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,21,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,21,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,21,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,21,5,1,0,0,0,attack
11,21,6,1,1,117,127,0,0,1,0,2,0,0,21,5,1,0,0,0,attack
11,21,6,1,1,117,127,0,0,1,0,2,0,0,21,5,1,0,0,0,attack
11,14,9,1,1,117,127,0,0,1,0,2,0,0,21,5,1,0,0,0,attack
11,14,9,1,1,117,127,0,0,1,0,2,0,0,21,5,1,0,0,0,attack
11,14,9,1,1,117,127,0,0,1,0,2,0,0,21,5,1,0,0,0,attack
11,14,9,1,1,117,127,0,0,1,0,2,0,0,21,5,1,0,0,0,attack
11,37,10,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,attack
11,37,10,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,8,3,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,8,3,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,8,3,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,8,3,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,8,3,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,8,3,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,5,0,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
18,21,6,1,1,10,127,0,0,1,0,2,1,0,22,5,1,0,0,0,benign
18,21,6,1,1,10,127,0,0,1,0,2,1,0,22,5,1,0,0,0,benign
11,18,3,1,1,117,127,0,0,1,0,2,1,0,22,5,1,0,0,0,benign
11,18,3,1,1,117,127,0,0,1,0,2,1,0,22,5,1,0,0,0,attack
11,18,3,1,1,117,127,0,0,1,0,2,1,0,22,5,1,0,0,0,attack
11,5,0,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,attack
11,28,8,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,28,8,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,37,10,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,8,3,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,attack
11,6,0,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,attack
11,25,7,1,1,117,127,0,0,1,0,2,0,1,22,5,1,0,0,0,attack
11,28,8,1,1,117,127,0,0,1,0,2,0,0,22,5,1,0,0,0,benign
11,28,8,1,1,117,127,0,0,1,0,2,0,1,22,5,1,0,0,0,attack
11,28,8,1,1,117,127,0,0,1,0,2,0,1,22,5,1,0,0,0,attack
13,10,1,1,1,117,127,0,0,1,0,2,0,0,23,5,1,0,0,0,benign
13,10,1,1,1,117,127,0,0,1,0,2,0,0,23,5,1,0,0,0,benign
13,14,9,1,1,117,127,0,0,1,0,2,0,0,23,5,1,0,0,0,attack
13,10,1,1,1,117,127,0,0,1,0,2,0,0,10,6,1,0,0,0,benign
13,10,1,1,1,117,127,0,0,1,0,2,0,0,12,6,1,0,0,0,benign
13,10,1,1,1,117,127,0,0,1,0,2,0,0,15,6,1,0,0,0,benign
13,10,1,1,1,139,10,1,57,87,0,2,0,0,15,6,1,0,0,0,benign
13,37,10,1,1,111,10,1,57,81,0,2,0,1,15,6,1,0,0,0,attack
13,10,1,1,1,117,10,1,57,226,0,2,0,0,15,6,1,0,0,0,benign
13,10,1,1,1,117,127,0,0,1,0,2,0,0,18,6,1,0,0,0,benign
